Domain,MCP_URL,Endpoint_Type
1000ps.at,https://mcp.1000ps.at/.well-known/mcp-server,Standard
1000ps.at,https://1000ps.at/.well-known/mcp-server,Root
1000ps.at,https://api.1000ps.at/mcp,API
100hires.com,https://mcp.100hires.com/.well-known/mcp-server,Standard
100hires.com,https://100hires.com/.well-known/mcp-server,Root
100hires.com,https://api.100hires.com/mcp,API
10minuteschool.com,https://mcp.10minuteschool.com/.well-known/mcp-server,Standard
10minuteschool.com,https://10minuteschool.com/.well-known/mcp-server,Root
10minuteschool.com,https://api.10minuteschool.com/mcp,API
123elec.com,https://mcp.123elec.com/.well-known/mcp-server,Standard
123elec.com,https://123elec.com/.well-known/mcp-server,Root
123elec.com,https://api.123elec.com/mcp,API
1up.ai,https://mcp.1up.ai/.well-known/mcp-server,Standard
1up.ai,https://1up.ai/.well-known/mcp-server,Root
1up.ai,https://api.1up.ai/mcp,API
2050-materials.com,https://mcp.2050-materials.com/.well-known/mcp-server,Standard
2050-materials.com,https://2050-materials.com/.well-known/mcp-server,Root
2050-materials.com,https://api.2050-materials.com/mcp,API
2cloudnine.com,https://mcp.2cloudnine.com/.well-known/mcp-server,Standard
2cloudnine.com,https://2cloudnine.com/.well-known/mcp-server,Root
2cloudnine.com,https://api.2cloudnine.com/mcp,API
2escape.nl,https://mcp.2escape.nl/.well-known/mcp-server,Standard
2escape.nl,https://2escape.nl/.well-known/mcp-server,Root
2escape.nl,https://api.2escape.nl/mcp,API
30x.com,https://mcp.30x.com/.well-known/mcp-server,Standard
30x.com,https://30x.com/.well-known/mcp-server,Root
30x.com,https://api.30x.com/mcp,API
360shuke.com,https://mcp.360shuke.com/.well-known/mcp-server,Standard
360shuke.com,https://360shuke.com/.well-known/mcp-server,Root
360shuke.com,https://api.360shuke.com/mcp,API
3dspark.de,https://mcp.3dspark.de/.well-known/mcp-server,Standard
3dspark.de,https://3dspark.de/.well-known/mcp-server,Root
3dspark.de,https://api.3dspark.de/mcp,API
3i.ai,https://mcp.3i.ai/.well-known/mcp-server,Standard
3i.ai,https://3i.ai/.well-known/mcp-server,Root
3i.ai,https://api.3i.ai/mcp,API
4degrees.ai,https://mcp.4degrees.ai/.well-known/mcp-server,Standard
4degrees.ai,https://4degrees.ai/.well-known/mcp-server,Root
4degrees.ai,https://api.4degrees.ai/mcp,API
500.co,https://mcp.500.co/.well-known/mcp-server,Standard
500.co,https://500.co/.well-known/mcp-server,Root
500.co,https://api.500.co/mcp,API
51ultron.com,https://mcp.51ultron.com/.well-known/mcp-server,Standard
51ultron.com,https://51ultron.com/.well-known/mcp-server,Root
51ultron.com,https://api.51ultron.com/mcp,API
58pic.com,https://mcp.58pic.com/.well-known/mcp-server,Standard
58pic.com,https://58pic.com/.well-known/mcp-server,Root
58pic.com,https://api.58pic.com/mcp,API
5gnetworks.au,https://mcp.5gnetworks.au/.well-known/mcp-server,Standard
5gnetworks.au,https://5gnetworks.au/.well-known/mcp-server,Root
5gnetworks.au,https://api.5gnetworks.au/mcp,API
6figr.com,https://mcp.6figr.com/.well-known/mcp-server,Standard
6figr.com,https://6figr.com/.well-known/mcp-server,Root
6figr.com,https://api.6figr.com/mcp,API
8m.eu,https://mcp.8m.eu/.well-known/mcp-server,Standard
8m.eu,https://8m.eu/.well-known/mcp-server,Root
8m.eu,https://api.8m.eu/mcp,API
99c.co.za,https://mcp.99c.co.za/.well-known/mcp-server,Standard
99c.co.za,https://99c.co.za/.well-known/mcp-server,Root
99c.co.za,https://api.99c.co.za/mcp,API
aaf.ro,https://mcp.aaf.ro/.well-known/mcp-server,Standard
aaf.ro,https://aaf.ro/.well-known/mcp-server,Root
aaf.ro,https://api.aaf.ro/mcp,API
aafs.org,https://mcp.aafs.org/.well-known/mcp-server,Standard
aafs.org,https://aafs.org/.well-known/mcp-server,Root
aafs.org,https://api.aafs.org/mcp,API
aajil.sa,https://mcp.aajil.sa/.well-known/mcp-server,Standard
aajil.sa,https://aajil.sa/.well-known/mcp-server,Root
aajil.sa,https://api.aajil.sa/mcp,API
aarna.ai,https://mcp.aarna.ai/.well-known/mcp-server,Standard
aarna.ai,https://aarna.ai/.well-known/mcp-server,Root
aarna.ai,https://api.aarna.ai/mcp,API
abacatepay.com,https://mcp.abacatepay.com/.well-known/mcp-server,Standard
abacatepay.com,https://abacatepay.com/.well-known/mcp-server,Root
abacatepay.com,https://api.abacatepay.com/mcp,API
abacum.ai,https://mcp.abacum.ai/.well-known/mcp-server,Standard
abacum.ai,https://abacum.ai/.well-known/mcp-server,Root
abacum.ai,https://api.abacum.ai/mcp,API
abatable.com,https://mcp.abatable.com/.well-known/mcp-server,Standard
abatable.com,https://abatable.com/.well-known/mcp-server,Root
abatable.com,https://api.abatable.com/mcp,API
abclegal.com,https://mcp.abclegal.com/.well-known/mcp-server,Standard
abclegal.com,https://abclegal.com/.well-known/mcp-server,Root
abclegal.com,https://api.abclegal.com/mcp,API
abconvert.io,https://mcp.abconvert.io/.well-known/mcp-server,Standard
abconvert.io,https://abconvert.io/.well-known/mcp-server,Root
abconvert.io,https://api.abconvert.io/mcp,API
abill.io,https://mcp.abill.io/.well-known/mcp-server,Standard
abill.io,https://abill.io/.well-known/mcp-server,Root
abill.io,https://api.abill.io/mcp,API
absoluteinvestimentos.com.br,https://mcp.absoluteinvestimentos.com.br/.well-known/mcp-server,Standard
absoluteinvestimentos.com.br,https://absoluteinvestimentos.com.br/.well-known/mcp-server,Root
absoluteinvestimentos.com.br,https://api.absoluteinvestimentos.com.br/mcp,API
abundolive.se,https://mcp.abundolive.se/.well-known/mcp-server,Standard
abundolive.se,https://abundolive.se/.well-known/mcp-server,Root
abundolive.se,https://api.abundolive.se/mcp,API
accelera.tech,https://mcp.accelera.tech/.well-known/mcp-server,Standard
accelera.tech,https://accelera.tech/.well-known/mcp-server,Root
accelera.tech,https://api.accelera.tech/mcp,API
accessowl.com,https://mcp.accessowl.com/.well-known/mcp-server,Standard
accessowl.com,https://accessowl.com/.well-known/mcp-server,Root
accessowl.com,https://api.accessowl.com/mcp,API
acclinate.com,https://mcp.acclinate.com/.well-known/mcp-server,Standard
acclinate.com,https://acclinate.com/.well-known/mcp-server,Root
acclinate.com,https://api.acclinate.com/mcp,API
accuweather.com,https://mcp.accuweather.com/.well-known/mcp-server,Standard
accuweather.com,https://accuweather.com/.well-known/mcp-server,Root
accuweather.com,https://api.accuweather.com/mcp,API
aceworks.ai,https://mcp.aceworks.ai/.well-known/mcp-server,Standard
aceworks.ai,https://aceworks.ai/.well-known/mcp-server,Root
aceworks.ai,https://api.aceworks.ai/mcp,API
aclarian.com,https://mcp.aclarian.com/.well-known/mcp-server,Standard
aclarian.com,https://aclarian.com/.well-known/mcp-server,Root
aclarian.com,https://api.aclarian.com/mcp,API
aclymate.com,https://mcp.aclymate.com/.well-known/mcp-server,Standard
aclymate.com,https://aclymate.com/.well-known/mcp-server,Root
aclymate.com,https://api.aclymate.com/mcp,API
across.to,https://mcp.across.to/.well-known/mcp-server,Standard
across.to,https://across.to/.well-known/mcp-server,Root
across.to,https://api.across.to/mcp,API
acs-cam.com,https://mcp.acs-cam.com/.well-known/mcp-server,Standard
acs-cam.com,https://acs-cam.com/.well-known/mcp-server,Root
acs-cam.com,https://api.acs-cam.com/mcp,API
ad-man.io,https://mcp.ad-man.io/.well-known/mcp-server,Standard
ad-man.io,https://ad-man.io/.well-known/mcp-server,Root
ad-man.io,https://api.ad-man.io/mcp,API
adamhall.com,https://mcp.adamhall.com/.well-known/mcp-server,Standard
adamhall.com,https://adamhall.com/.well-known/mcp-server,Root
adamhall.com,https://api.adamhall.com/mcp,API
adaptic.no,https://mcp.adaptic.no/.well-known/mcp-server,Standard
adaptic.no,https://adaptic.no/.well-known/mcp-server,Root
adaptic.no,https://api.adaptic.no/mcp,API
adaptive6.com,https://mcp.adaptive6.com/.well-known/mcp-server,Standard
adaptive6.com,https://adaptive6.com/.well-known/mcp-server,Root
adaptive6.com,https://api.adaptive6.com/mcp,API
adbutler.com,https://mcp.adbutler.com/.well-known/mcp-server,Standard
adbutler.com,https://adbutler.com/.well-known/mcp-server,Root
adbutler.com,https://api.adbutler.com/mcp,API
adchieve.com,https://mcp.adchieve.com/.well-known/mcp-server,Standard
adchieve.com,https://adchieve.com/.well-known/mcp-server,Root
adchieve.com,https://api.adchieve.com/mcp,API
adentris.com,https://mcp.adentris.com/.well-known/mcp-server,Standard
adentris.com,https://adentris.com/.well-known/mcp-server,Root
adentris.com,https://api.adentris.com/mcp,API
adlabs.app,https://mcp.adlabs.app/.well-known/mcp-server,Standard
adlabs.app,https://adlabs.app/.well-known/mcp-server,Root
adlabs.app,https://api.adlabs.app/mcp,API
admanage.ai,https://mcp.admanage.ai/.well-known/mcp-server,Standard
admanage.ai,https://admanage.ai/.well-known/mcp-server,Root
admanage.ai,https://api.admanage.ai/mcp,API
