Domain,Authentication_Method,Risk_Level
1000ps.at,OAuth 2.0,Low
100hires.com,OAuth 2.0,Low
10minuteschool.com,OAuth 2.0,Low
123elec.com,OAuth 2.0,Low
1up.ai,OAuth 2.0,Low
2050-materials.com,OAuth 2.0,Low
2cloudnine.com,OAuth 2.0,Low
2escape.nl,OAuth 2.0,Low
30x.com,OAuth 2.0,Low
360shuke.com,OAuth 2.0,Low
3dspark.de,OAuth 2.0,Low
3i.ai,OAuth 2.0,Low
4degrees.ai,OAuth 2.0,Low
500.co,OAuth 2.0,Low
51ultron.com,OAuth 2.0,Low
58pic.com,OAuth 2.0,Low
5gnetworks.au,OAuth 2.0,Low
6figr.com,OAuth 2.0,Low
8m.eu,OAuth 2.0,Low
99c.co.za,OAuth 2.0,Low
aaf.ro,OAuth 2.0,Low
aafs.org,OAuth 2.0,Low
aajil.sa,OAuth 2.0,Low
aarna.ai,OAuth 2.0,Low
abacatepay.com,OAuth 2.0,Low
abacum.ai,OAuth 2.0,Low
abatable.com,OAuth 2.0,Low
abclegal.com,OAuth 2.0,Low
abconvert.io,OAuth 2.0,Low
abill.io,OAuth 2.0,Low
absoluteinvestimentos.com.br,OAuth 2.0,Low
abundolive.se,OAuth 2.0,Low
accelera.tech,OAuth 2.0,Low
accessowl.com,OAuth 2.0,Low
acclinate.com,OAuth 2.0,Low
accuweather.com,OAuth 2.0,Low
aceworks.ai,OAuth 2.0,Low
aclarian.com,OAuth 2.0,Low
aclymate.com,OAuth 2.0,Low
across.to,OAuth 2.0,Low
acs-cam.com,OAuth 2.0,Low
ad-man.io,OAuth 2.0,Low
adamhall.com,OAuth 2.0,Low
adaptic.no,OAuth 2.0,Low
adaptive6.com,OAuth 2.0,Low
adbutler.com,OAuth 2.0,Low
adchieve.com,OAuth 2.0,Low
adentris.com,OAuth 2.0,Low
adlabs.app,OAuth 2.0,Low
admanage.ai,OAuth 2.0,Low
admove.ai,OAuth 2.0,Low
adology.ai,OAuth 2.0,Low
adologyai.com,OAuth 2.0,Low
adomik.com,OAuth 2.0,Low
adomni.com,OAuth 2.0,Low
adopt.ai,OAuth 2.0,Low
adp.com,OAuth 2.0,Low
adplenty.io,OAuth 2.0,Low
adplist.org,OAuth 2.0,Low
adscale.com,OAuth 2.0,Low
adsgency.ai,OAuth 2.0,Low
adsimple.at,OAuth 2.0,Low
adthena.com,OAuth 2.0,Low
advally.com,OAuth 2.0,Low
advancio.io,OAuth 2.0,Low
adverteyes.ai,OAuth 2.0,Low
adyntel.com,OAuth 2.0,Low
adzen.ai,OAuth 2.0,Low
