Domain,Authentication_Method,Status
1000ps.at,OAuth 2.0,Verified
100hires.com,OAuth 2.0,Verified
10minuteschool.com,OAuth 2.0,Verified
123elec.com,OAuth 2.0,Verified
1up.ai,OAuth 2.0,Verified
2050-materials.com,OAuth 2.0,Verified
2cloudnine.com,OAuth 2.0,Verified
2escape.nl,OAuth 2.0,Verified
30x.com,OAuth 2.0,Verified
360shuke.com,OAuth 2.0,Verified
3dspark.de,OAuth 2.0,Verified
3i.ai,OAuth 2.0,Verified
4degrees.ai,OAuth 2.0,Verified
500.co,OAuth 2.0,Verified
51ultron.com,OAuth 2.0,Verified
58pic.com,OAuth 2.0,Verified
5gnetworks.au,OAuth 2.0,Verified
6figr.com,OAuth 2.0,Verified
8m.eu,OAuth 2.0,Verified
99c.co.za,OAuth 2.0,Verified
aaf.ro,OAuth 2.0,Verified
aafs.org,OAuth 2.0,Verified
aajil.sa,OAuth 2.0,Verified
aarna.ai,OAuth 2.0,Verified
abacatepay.com,OAuth 2.0,Verified
abacum.ai,OAuth 2.0,Verified
abatable.com,OAuth 2.0,Verified
abclegal.com,OAuth 2.0,Verified
abconvert.io,OAuth 2.0,Verified
abill.io,OAuth 2.0,Verified
absoluteinvestimentos.com.br,OAuth 2.0,Verified
abundolive.se,OAuth 2.0,Verified
accelera.tech,OAuth 2.0,Verified
accessowl.com,OAuth 2.0,Verified
acclinate.com,OAuth 2.0,Verified
accuweather.com,OAuth 2.0,Verified
aceworks.ai,OAuth 2.0,Verified
aclarian.com,OAuth 2.0,Verified
aclymate.com,OAuth 2.0,Verified
across.to,OAuth 2.0,Verified
acs-cam.com,OAuth 2.0,Verified
ad-man.io,OAuth 2.0,Verified
adamhall.com,OAuth 2.0,Verified
adaptic.no,OAuth 2.0,Verified
adaptive6.com,OAuth 2.0,Verified
adbutler.com,OAuth 2.0,Verified
adchieve.com,OAuth 2.0,Verified
adentris.com,OAuth 2.0,Verified
adlabs.app,OAuth 2.0,Verified
admanage.ai,OAuth 2.0,Verified
admove.ai,OAuth 2.0,Verified
adology.ai,OAuth 2.0,Verified
adologyai.com,OAuth 2.0,Verified
adomik.com,OAuth 2.0,Verified
adomni.com,OAuth 2.0,Verified
adopt.ai,OAuth 2.0,Verified
adp.com,OAuth 2.0,Verified
adplenty.io,OAuth 2.0,Verified
adplist.org,OAuth 2.0,Verified
adscale.com,OAuth 2.0,Verified
adsgency.ai,OAuth 2.0,Verified
adsimple.at,OAuth 2.0,Verified
adthena.com,OAuth 2.0,Verified
advally.com,OAuth 2.0,Verified
advancio.io,OAuth 2.0,Verified
adverteyes.ai,OAuth 2.0,Verified
adyntel.com,OAuth 2.0,Verified
adzen.ai,OAuth 2.0,Verified
adzgroup.net,OAuth 2.0,Verified
aeroventures.com,OAuth 2.0,Verified
aevo.xyz,OAuth 2.0,Verified
affinda.com,OAuth 2.0,Verified
affinitasdmcc.com,OAuth 2.0,Verified
affinity.co,OAuth 2.0,Verified
affinityanswers.com,OAuth 2.0,Verified
affise.com,OAuth 2.0,Verified
africadigitalconnect.net,OAuth 2.0,Verified
afriex.com,OAuth 2.0,Verified
agency.inc,OAuth 2.0,Verified
agent.ai,OAuth 2.0,Verified
agentic-data.com,OAuth 2.0,Verified
agenticflow.ai,OAuth 2.0,Verified
agentmail.to,OAuth 2.0,Verified
agicap.com,OAuth 2.0,Verified
agora.io,OAuth 2.0,Verified
agorapulse.com,OAuth 2.0,Verified
agrex.ai,OAuth 2.0,Verified
agrexai.com,OAuth 2.0,Verified
agrisafe.agr.br,OAuth 2.0,Verified
aguiarinjurylawyers.com,OAuth 2.0,Verified
ahaslides.com,OAuth 2.0,Verified
aheadcomputing.com,OAuth 2.0,Verified
ahoikapptn.com,OAuth 2.0,Verified
aibox.ai,OAuth 2.0,Verified
aico.swiss,OAuth 2.0,Verified
aidentified.com,OAuth 2.0,Verified
aiims.group,OAuth 2.0,Verified
aimfox.com,OAuth 2.0,Verified
airbridge.io,OAuth 2.0,Verified
airframe.ai,OAuth 2.0,Verified
airpay.co.in,OAuth 2.0,Verified
airsaas.io,OAuth 2.0,Verified
airtable.com,OAuth 2.0,Verified
airwallex.com,OAuth 2.0,Verified
aiseo.ai,OAuth 2.0,Verified
aislelabs.com,OAuth 2.0,Verified
aitomatic.com,OAuth 2.0,Verified
aivideo.com,OAuth 2.0,Verified
ajlanbros-holding.com,OAuth 2.0,Verified
akamai.com,OAuth 2.0,Verified
akiflow.com,OAuth 2.0,Verified
akua.la,OAuth 2.0,Verified
alaimolabs.com,OAuth 2.0,Verified
alamah.om,OAuth 2.0,Verified
alchemy.com,OAuth 2.0,Verified
alegra.com,OAuth 2.0,Verified
aleluya.com,OAuth 2.0,Verified
alex.com,OAuth 2.0,Verified
algoed.co,OAuth 2.0,Verified
algolia.com,OAuth 2.0,Verified
aljassar.com,OAuth 2.0,Verified
allaboard.eu,OAuth 2.0,Verified
allbridge.io,OAuth 2.0,Verified
allcore.it,OAuth 2.0,Verified
allears.ai,OAuth 2.0,Verified
allegrow.co,OAuth 2.0,Verified
allianceabroad.com,OAuth 2.0,Verified
alliontechnologies.ca,OAuth 2.0,Verified
allium.so,OAuth 2.0,Verified
allocate.co,OAuth 2.0,Verified
alloy.app,OAuth 2.0,Verified
allsides.com,OAuth 2.0,Verified
allunite.com,OAuth 2.0,Verified
alma.food,OAuth 2.0,Verified
alo-tech.com,OAuth 2.0,Verified
alpaca.markets,OAuth 2.0,Verified
alpha.ac,OAuth 2.0,Verified
alphavantage.co,OAuth 2.0,Verified
alpic.ai,OAuth 2.0,Verified
alpy.com,OAuth 2.0,Verified
alterdomus.com,OAuth 2.0,Verified
altertable.ai,OAuth 2.0,Verified
altfins.com,OAuth 2.0,Verified
altfndata.com,OAuth 2.0,Verified
altios.ai,OAuth 2.0,Verified
altuspower.com,OAuth 2.0,Verified
alvoradams.com.br,OAuth 2.0,Verified
amalgamrx.com,OAuth 2.0,Verified
amarix.com,OAuth 2.0,Verified
amass.tech,OAuth 2.0,Verified
ambarpartners.com,OAuth 2.0,Verified
amentum.io,OAuth 2.0,Verified
amityage.com,OAuth 2.0,Verified
ammp.io,OAuth 2.0,Verified
amove.io,OAuth 2.0,Verified
amperity.com,OAuth 2.0,Verified
amplifier.com,OAuth 2.0,Verified
amplitude.com,OAuth 2.0,Verified
ams-osram.com,OAuth 2.0,Verified
amt.ai,OAuth 2.0,Verified
anca.com,OAuth 2.0,Verified
and.com,OAuth 2.0,Verified
andcapitalventures.com,OAuth 2.0,Verified
andiron.ai,OAuth 2.0,Verified
ando.so,OAuth 2.0,Verified
aneon.at,OAuth 2.0,Verified
aniamanagement.com,OAuth 2.0,Verified
animaj.com,OAuth 2.0,Verified
anomalycapital.com,OAuth 2.0,Verified
antavo.com,OAuth 2.0,Verified
antbuddy.com,OAuth 2.0,Verified
antimetal.com,OAuth 2.0,Verified
antler.co,OAuth 2.0,Verified
antsomi.com,OAuth 2.0,Verified
anyonehome.com,OAuth 2.0,Verified
apaleo.com,OAuth 2.0,Verified
aparti.ai,OAuth 2.0,Verified
aperture.london,OAuth 2.0,Verified
api-and-you.com,OAuth 2.0,Verified
apicbase.com,OAuth 2.0,Verified
apify.com,OAuth 2.0,Verified
apolline.art,OAuth 2.0,Verified
apono.io,OAuth 2.0,Verified
appcircle.io,OAuth 2.0,Verified
appcues.com,OAuth 2.0,Verified
appflow.ai,OAuth 2.0,Verified
appliedmetatheory.org,OAuth 2.0,Verified
applypass.com,OAuth 2.0,Verified
appmedo.com,OAuth 2.0,Verified
apprecio.com,OAuth 2.0,Verified
apter.com.br,OAuth 2.0,Verified
aptoide.com,OAuth 2.0,Verified
aqmen.ai,OAuth 2.0,Verified
aquant.ai,OAuth 2.0,Verified
aquilax.ai,OAuth 2.0,Verified
aquion.com.au,OAuth 2.0,Verified
arcade.software,OAuth 2.0,Verified
arcadis.com,OAuth 2.0,Verified
arcananet.com,OAuth 2.0,Verified
archera.ai,OAuth 2.0,Verified
archilogic.com,OAuth 2.0,Verified
