Domain,MCP_URL
1000ps.at,https://mcp.1000ps.at/.well-known/mcp-server
100hires.com,https://mcp.100hires.com/.well-known/mcp-server
10minuteschool.com,https://mcp.10minuteschool.com/.well-known/mcp-server
123elec.com,https://mcp.123elec.com/.well-known/mcp-server
1up.ai,https://mcp.1up.ai/.well-known/mcp-server
2050-materials.com,https://mcp.2050-materials.com/.well-known/mcp-server
2cloudnine.com,https://mcp.2cloudnine.com/.well-known/mcp-server
2escape.nl,https://mcp.2escape.nl/.well-known/mcp-server
30x.com,https://mcp.30x.com/.well-known/mcp-server
360shuke.com,https://mcp.360shuke.com/.well-known/mcp-server
3dspark.de,https://mcp.3dspark.de/.well-known/mcp-server
3i.ai,https://mcp.3i.ai/.well-known/mcp-server
4degrees.ai,https://mcp.4degrees.ai/.well-known/mcp-server
500.co,https://mcp.500.co/.well-known/mcp-server
51ultron.com,https://mcp.51ultron.com/.well-known/mcp-server
58pic.com,https://mcp.58pic.com/.well-known/mcp-server
5gnetworks.au,https://mcp.5gnetworks.au/.well-known/mcp-server
6figr.com,https://mcp.6figr.com/.well-known/mcp-server
8m.eu,https://mcp.8m.eu/.well-known/mcp-server
99c.co.za,https://mcp.99c.co.za/.well-known/mcp-server
aaf.ro,https://mcp.aaf.ro/.well-known/mcp-server
aafs.org,https://mcp.aafs.org/.well-known/mcp-server
aajil.sa,https://mcp.aajil.sa/.well-known/mcp-server
aarna.ai,https://mcp.aarna.ai/.well-known/mcp-server
abacatepay.com,https://mcp.abacatepay.com/.well-known/mcp-server
abacum.ai,https://mcp.abacum.ai/.well-known/mcp-server
abatable.com,https://mcp.abatable.com/.well-known/mcp-server
abclegal.com,https://mcp.abclegal.com/.well-known/mcp-server
abconvert.io,https://mcp.abconvert.io/.well-known/mcp-server
abill.io,https://mcp.abill.io/.well-known/mcp-server
absoluteinvestimentos.com.br,https://mcp.absoluteinvestimentos.com.br/.well-known/mcp-server
abundolive.se,https://mcp.abundolive.se/.well-known/mcp-server
accelera.tech,https://mcp.accelera.tech/.well-known/mcp-server
accessowl.com,https://mcp.accessowl.com/.well-known/mcp-server
acclinate.com,https://mcp.acclinate.com/.well-known/mcp-server
accuweather.com,https://mcp.accuweather.com/.well-known/mcp-server
aceworks.ai,https://mcp.aceworks.ai/.well-known/mcp-server
aclarian.com,https://mcp.aclarian.com/.well-known/mcp-server
aclymate.com,https://mcp.aclymate.com/.well-known/mcp-server
across.to,https://mcp.across.to/.well-known/mcp-server
acs-cam.com,https://mcp.acs-cam.com/.well-known/mcp-server
ad-man.io,https://mcp.ad-man.io/.well-known/mcp-server
adamhall.com,https://mcp.adamhall.com/.well-known/mcp-server
adaptic.no,https://mcp.adaptic.no/.well-known/mcp-server
adaptive6.com,https://mcp.adaptive6.com/.well-known/mcp-server
adbutler.com,https://mcp.adbutler.com/.well-known/mcp-server
adchieve.com,https://mcp.adchieve.com/.well-known/mcp-server
adentris.com,https://mcp.adentris.com/.well-known/mcp-server
adlabs.app,https://mcp.adlabs.app/.well-known/mcp-server
admanage.ai,https://mcp.admanage.ai/.well-known/mcp-server
admove.ai,https://mcp.admove.ai/.well-known/mcp-server
adology.ai,https://mcp.adology.ai/.well-known/mcp-server
adologyai.com,https://mcp.adologyai.com/.well-known/mcp-server
adomik.com,https://mcp.adomik.com/.well-known/mcp-server
adomni.com,https://mcp.adomni.com/.well-known/mcp-server
adopt.ai,https://mcp.adopt.ai/.well-known/mcp-server
adp.com,https://mcp.adp.com/.well-known/mcp-server
adplenty.io,https://mcp.adplenty.io/.well-known/mcp-server
adplist.org,https://mcp.adplist.org/.well-known/mcp-server
adscale.com,https://mcp.adscale.com/.well-known/mcp-server
adsgency.ai,https://mcp.adsgency.ai/.well-known/mcp-server
adsimple.at,https://mcp.adsimple.at/.well-known/mcp-server
adthena.com,https://mcp.adthena.com/.well-known/mcp-server
advally.com,https://mcp.advally.com/.well-known/mcp-server
advancio.io,https://mcp.advancio.io/.well-known/mcp-server
adverteyes.ai,https://mcp.adverteyes.ai/.well-known/mcp-server
adyntel.com,https://mcp.adyntel.com/.well-known/mcp-server
adzen.ai,https://mcp.adzen.ai/.well-known/mcp-server
